POTRAVINY	MLIEČNE	Syr (tvrdý)	66.66666667	-100.0	-100.0
POTRAVINY	MLIEČNE	Syr (mäkký)	100.0	0.0	-100.0
POTRAVINY	MLIEČNE	Syr (mäkký, nezrejúci, nesolený)	0.0	100.0	0.0
POTRAVINY	MLIEČNE	Cottage syr	100.0	100.0	0.0
POTRAVINY	MLIEČNE	Cottage syr (from skimmed goat's mlieko)	0.0	0.0	100.0
POTRAVINY	MLIEČNE	Kravské mlieko	100.0	100.0	-100.0
POTRAVINY	MLIEČNE	Kravské mlieko (powdered)	-100.0	0.0	0.0
POTRAVINY	MLIEČNE	Ghí	100.0	100.0	66.66666667
POTRAVINY	MLIEČNE	Kozí syr	100.0	0.0	0.0
POTRAVINY	MLIEČNE	Kozí syr (soft, nesolené)	0.0	100.0	0.0
POTRAVINY	MLIEČNE	Kozí syr (nesolené, not aged)	0.0	0.0	66.66666667
POTRAVINY	MLIEČNE	Kozie mlieko	100.0	100.0	0.0
POTRAVINY	MLIEČNE	Kozie mlieko (práškové)	-100.0	0.0	0.0
POTRAVINY	MLIEČNE	Kozie mlieko (odtučnené)	0.0	0.0	100.0
POTRAVINY	MLIEČNE	Zmrzlina	66.66666667	100.0	-100.0
POTRAVINY	MLIEČNE	Väčšina mliečnych produktov	100.0	0.0	0.0
POTRAVINY	MLIEČNE	Kyslá smotana	66.66666667	-100.0	-100.0
POTRAVINY	MLIEČNE	Jogurt (riedený & korenený)	66.66666667	0.0	0.0
POTRAVINY	MLIEČNE	Jogurt (riedený)	0.0	0.0	100.0
POTRAVINY	MLIEČNE	Jogurt (čerstvé & riedený)	0.0	66.66666667	0.0
POTRAVINY	MLIEČNE	Jogurt (neochutený)	-100.0	-100.0	-100.0
POTRAVINY	MLIEČNE	Jogurt (mrazený)	-100.0	-100.0	-100.0
POTRAVINY	MLIEČNE	Jogurt (s ovocím)	-100.0	-100.0	-100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Aloe vera šťava	66.66666667	100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Amino acids	100.0	-100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Jačmeň zelené	-100.0	100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Bee pollen	100.0	-33.33333333	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Blue-zelené algae	100.0	100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Brewer's yeast	-100.0	100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Mineral: calcium	0.0	100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Mineral: Calcium	100.0	0.0	0.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Mineral: copper	100.0	-100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Mineral: iron	100.0	-100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Mineral: magnesium	100.0	100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Mineral: potassium	0.0	0.0	-100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Mineral: zinc	100.0	100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Royal jelly	100.0	-33.33333333	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Spirulina	100.0	100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: A	100.0	100.0	-100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: B1	100.0	100.0	-100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: B12	100.0	100.0	-100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: B2	100.0	-100.0	-100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: B6	100.0	-100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: C	100.0	-100.0	0.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: D	100.0	100.0	-100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: E	100.0	-100.0	-100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: Folic Acid	100.0	-100.0	100.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: K	-100.0	100.0	0.0
POTRAVINY	VÝŽIVOVÉ DOPLNKY 	Vitamin: P	100.0	-100.0	100.0
POTRAVINY	OVOCIE	Jablká	0.0	0.0	100.0
POTRAVINY	OVOCIE	Jablká (varené)	100.0	0.0	0.0
POTRAVINY	OVOCIE	Jablká (surové)	-100.0	0.0	0.0
POTRAVINY	OVOCIE	Jablká (kyslé)	0.0	-100.0	0.0
POTRAVINY	OVOCIE	Jablká (sladké)	0.0	100.0	0.0
POTRAVINY	OVOCIE	Jablková kaša	100.0	100.0	100.0
POTRAVINY	OVOCIE	Marhule	100.0	0.0	100.0
POTRAVINY	OVOCIE	Marhule (kyslé)	0.0	-100.0	0.0
POTRAVINY	OVOCIE	Marhule (sladké)	0.0	100.0	0.0
POTRAVINY	OVOCIE	Avokádo	100.0	100.0	-100.0
POTRAVINY	OVOCIE	Banány	100.0	-100.0	-100.0
POTRAVINY	OVOCIE	Bobulové ovocie	100.0	0.0	100.0
POTRAVINY	OVOCIE	Bobulové ovocie (kyslé)	0.0	-100.0	0.0
POTRAVINY	OVOCIE	Bobulové ovocie (sladké)	0.0	100.0	0.0
POTRAVINY	OVOCIE	Čerešne	100.0	0.0	100.0
POTRAVINY	OVOCIE	Čerešne (kyslé)	0.0	-100.0	0.0
POTRAVINY	OVOCIE	Čerešne (sladké)	0.0	100.0	0.0
POTRAVINY	OVOCIE	Kokos	100.0	100.0	-100.0
POTRAVINY	OVOCIE	Brusnice	-100.0	-100.0	100.0
POTRAVINY	OVOCIE	Datle	0.0	100.0	-100.0
POTRAVINY	OVOCIE	Datle (sušené)	-100.0	0.0	0.0
POTRAVINY	OVOCIE	Datle (čerstvé)	100.0	0.0	0.0
POTRAVINY	OVOCIE	Figy	0.0	100.0	0.0
POTRAVINY	OVOCIE	Figy (sušené)	-100.0	0.0	66.66666667
POTRAVINY	OVOCIE	Figy (čerstvé)	100.0	0.0	-100.0
POTRAVINY	OVOCIE	Väčšina trpkého ovocia	0.0	0.0	100.0
POTRAVINY	OVOCIE	Väčšina sušeného ovocia	-100.0	0.0	0.0
POTRAVINY	OVOCIE	Väčšina kyslého ovocia	0.0	-100.0	-100.0
POTRAVINY	OVOCIE	Väčšina sladkého ovocia	100.0	100.0	-100.0
POTRAVINY	OVOCIE	Grapefruit	100.0	-100.0	-100.0
POTRAVINY	OVOCIE	Hrozno	100.0	0.0	66.66666667
POTRAVINY	OVOCIE	Hrozno (zelené)	0.0	-100.0	0.0
POTRAVINY	OVOCIE	Hrozno (červené)	0.0	100.0	0.0
POTRAVINY	OVOCIE	Hrozno (ružové)	0.0	100.0	0.0
POTRAVINY	OVOCIE	Kiwi	100.0	-100.0	-100.0
POTRAVINY	OVOCIE	Citróny	100.0	-100.0	66.66666667
POTRAVINY	OVOCIE	Limetky	100.0	66.66666667	66.66666667
POTRAVINY	OVOCIE	Mango	100.0	0.0	-33.33333333
